rushid_int,has_relative_rush,closeness_rush,relation_types_rush,n_relatives_rush,multiple_relatives_rush,has_blood_relative_rush,relative_names_rush
1877,1,child,child; grandchild; grandparent; parent; pibling; sibling,7,1,1,4467 | 7862 | 7935 | 8786 | 8838 | 898 | 9049
7862,1,parent,child; grandparent; parent; pibling; sibling,5,1,1,1877 | 7935 | 8786 | 8838 | 898
5720,1,sibling,sibling,1,0,1,5719
5719,1,sibling,sibling,1,0,1,5720
4735,1,sibling,sibling,1,0,1,4736
4736,1,sibling,sibling,1,0,1,4735
870,1,sibling,sibling,2,1,1,873 | 874
874,1,sibling,sibling,2,1,1,870 | 873
880,1,sibling,sibling,1,0,1,7223
7223,1,sibling,sibling,1,0,1,880
6163,1,child,child; sibling,2,1,1,1015 | 3771
3771,1,sibling,nibling; sibling,2,1,1,1015 | 6163
5303,1,sibling,sibling,1,0,1,5304
5304,1,sibling,sibling,1,0,1,5303
7959,1,sibling,sibling,1,0,1,8493
8493,1,sibling,sibling,1,0,1,7959
9085,1,child,child; grandchild; pibling; sibling,8,1,1,1345 | 1346 | 1347 | 1801 | 1875 | 2235 | 6637 | 6638
4786,1,sibling,sibling,1,0,1,4787
4787,1,sibling,sibling,1,0,1,4786
4693,1,parent,parent; pibling; sibling,2,1,1,2570 | 9033
2570,1,parent,parent; sibling,2,1,1,4693 | 9033
9028,1,parent,grandparent; parent; sibling,3,1,1,4584 | 894 | 9027
5308,1,sibling,sibling,1,0,1,5309
5309,1,sibling,sibling,1,0,1,5308
9494,1,sibling,sibling,1,0,1,5301
5301,1,sibling,sibling,1,0,1,9494
6789,1,sibling,sibling,1,0,1,6791
6791,1,sibling,sibling,1,0,1,6789
1821,1,parent,parent; sibling,2,1,1,1494 | 6482
6514,1,sibling,sibling,1,0,1,6511
4005,1,parent,parent; sibling,2,1,1,4006 | 4007
4007,1,parent,parent; sibling,2,1,1,4005 | 4006
2893,1,child,child; parent; sibling,3,1,1,4310 | 6218 | 6219
6219,1,parent,nibling; parent; sibling,3,1,1,2893 | 4310 | 6218
2151,1,sibling,sibling,2,1,1,2164 | 2245
2245,1,sibling,sibling,2,1,1,2151 | 2164
2164,1,sibling,sibling,2,1,1,2151 | 2245
2240,1,sibling,pibling; sibling,3,1,1,4089 | 6452 | 6881
6881,1,parent,parent; pibling; sibling,3,1,1,2240 | 4089 | 6452
2256,1,parent,parent; sibling,2,1,1,2257 | 6885
2257,1,parent,parent; sibling,2,1,1,2256 | 6885
4089,1,sibling,pibling; sibling,3,1,1,2240 | 6452 | 6881
4275,1,sibling,sibling,1,0,1,4278
4278,1,sibling,sibling,1,0,1,4275
8359,1,parent,parent; sibling,2,1,1,7755 | 8398
8398,1,parent,parent; sibling,2,1,1,7755 | 8359
6256,1,child,child; sibling,2,1,1,6258 | 7115
7115,1,sibling,nibling; sibling,2,1,1,6256 | 6258
1295,1,sibling,sibling,1,0,1,4811
4811,1,sibling,sibling,1,0,1,1295
4983,1,sibling,pibling; sibling,2,1,1,3391 | 3392
3391,1,sibling,pibling; sibling,2,1,1,3392 | 4983
6913,1,sibling,sibling,1,0,1,3043
6445,1,sibling,sibling,1,0,1,6763
6763,1,sibling,sibling,1,0,1,6445
832,1,parent,nibling; parent; sibling,4,1,1,6533 | 6534 | 793 | 943
793,1,child,child; parent; sibling,3,1,1,6533 | 6534 | 832
1079,1,sibling,sibling,1,0,1,1078
1078,1,sibling,sibling,1,0,1,1079
4855,1,sibling,sibling,1,0,1,4856
4856,1,sibling,sibling,1,0,1,4855
4904,1,parent,parent; sibling,2,1,1,4903 | 4905
4905,1,parent,parent; sibling,2,1,1,4903 | 4904
4913,1,parent,parent; sibling,2,1,1,4912 | 4914
4914,1,parent,parent; sibling,2,1,1,4912 | 4913
4942,1,sibling,sibling,1,0,1,4943
4943,1,sibling,sibling,1,0,1,4942
7009,1,sibling,nibling; sibling,3,1,1,2567 | 2568 | 7008
7342,1,sibling,nibling; sibling,4,1,1,1031 | 7341 | 7343 | 7344
7341,1,child,child; sibling,4,1,1,1031 | 7342 | 7343 | 7344
5188,1,sibling,sibling,1,0,1,5189
5189,1,sibling,sibling,1,0,1,5188
6460,1,child,child; sibling,2,1,1,2647 | 7058
7058,1,sibling,nibling; sibling,2,1,1,2647 | 6460
7032,1,sibling,nibling; sibling,2,1,1,7030 | 7031
7043,1,sibling,sibling,1,0,1,7044
7044,1,sibling,sibling,1,0,1,7043
7590,1,sibling,sibling,2,1,1,7757 | 7795
7757,1,sibling,sibling,2,1,1,7590 | 7795
7795,1,sibling,sibling,2,1,1,7590 | 7757
7593,1,sibling,sibling,1,0,1,8011
8011,1,sibling,sibling,1,0,1,7593
8060,1,parent,parent; sibling,2,1,1,2662 | 8339
8339,1,parent,child; parent; sibling,3,1,1,2662 | 8060 | 8156
8382,1,sibling,nibling; sibling,2,1,1,518 | 8429
8429,1,sibling,sibling,1,0,1,8382
8423,1,parent,parent; sibling,2,1,1,8702 | 8803
8803,1,parent,parent; sibling,2,1,1,8423 | 8702
9041,1,child,child; grandchild; sibling,3,1,1,2626 | 9040 | 9110
2858,1,parent,parent; sibling,2,1,1,7328 | 8066
8066,1,parent,parent; sibling,2,1,1,2858 | 7328
6067,1,sibling,sibling,1,0,1,2905
7278,1,sibling,sibling,1,0,1,5692
5692,1,sibling,sibling,1,0,1,7278
9017,1,child,child; sibling,3,1,1,9020 | 9126 | 9153
3983,1,sibling,sibling,1,0,1,6876
6876,1,sibling,sibling,1,0,1,3983
7088,1,child,child; sibling,2,1,1,7086 | 7087
7087,1,sibling,nibling; sibling,2,1,1,7086 | 7088
2697,1,parent,parent; sibling,2,1,1,7083 | 7084
7083,1,parent,parent; sibling,2,1,1,2697 | 7084
1294,1,sibling,sibling,1,0,1,6608
6608,1,sibling,sibling,1,0,1,1294
2687,1,sibling,sibling,1,0,1,7566
7559,1,sibling,sibling,1,0,1,9434
9434,1,sibling,sibling,1,0,1,7559
2684,1,parent,parent; sibling,2,1,1,2683 | 7082
2683,1,parent,parent; sibling,2,1,1,2684 | 7082
7621,1,sibling,sibling,1,0,1,736
7630,1,parent,parent; pibling; sibling,3,1,1,2566 | 2567 | 2568
2566,1,parent,parent; pibling; sibling,3,1,1,2567 | 2568 | 7630
7651,1,parent,parent; sibling,3,1,1,2540 | 2541 | 2880
7344,1,sibling,nibling; sibling,3,1,1,1031 | 7341 | 7342
2997,1,child,child; sibling,2,1,1,6694 | 6695
4898,1,sibling,sibling,2,1,1,1599 | 1600
1012,1,sibling,sibling,1,0,1,1011
1011,1,sibling,sibling,1,0,1,1012
3699,1,sibling,sibling,1,0,1,9119
6106,1,sibling,sibling,1,0,1,6107
6107,1,sibling,sibling,1,0,1,6106
5747,1,parent,parent; sibling,2,1,1,5746 | 5748
5746,1,parent,parent; sibling,2,1,1,5747 | 5748
7306,1,sibling,sibling,2,1,1,7309 | 9050
7309,1,sibling,sibling,2,1,1,7306 | 9050
7314,1,child,child; nibling; sibling,5,1,1,2853 | 2854 | 2855 | 7311 | 7313
7313,1,child,child; grandchild; nibling; sibling,6,1,1,2499 | 2853 | 2854 | 2855 | 7311 | 7314
4792,1,parent,grandchild; parent; sibling,3,1,1,3872 | 3873 | 4793
971,1,sibling,sibling,1,0,1,947
947,1,sibling,sibling,1,0,1,971
7614,1,child,child; grandchild; grandparent; parent; pibling; sibling,6,1,1,2703 | 4137 | 4140 | 7613 | 8335 | 8949
6440,1,child,child; grandchild; pibling; sibling,5,1,1,1526 | 3180 | 5606 | 6745 | 6747
4685,1,sibling,sibling,1,0,1,9024
7196,1,sibling,sibling,1,0,1,7197
7197,1,sibling,sibling,1,0,1,7196
7120,1,sibling,nibling; sibling,4,1,1,2753 | 2754 | 4761 | 7121
7121,1,sibling,nibling; sibling,3,1,1,2754 | 4761 | 7120
9696,1,sibling,sibling,1,0,1,4823
4823,1,sibling,sibling,1,0,1,9696
683,1,sibling,sibling,1,0,1,10140
10140,1,sibling,sibling,1,0,1,683
10130,1,sibling,sibling,1,0,1,10048
10048,1,sibling,sibling,1,0,1,10130
10696,1,sibling,sibling,1,0,1,10275
10275,1,sibling,sibling,1,0,1,10696
2514,1,parent,parent,1,0,1,2513
2513,1,child,child,1,0,1,2514
223,1,parent,parent,2,1,1,222 | 2930
2930,1,child,child; spouse,2,1,1,222 | 223
4702,1,parent,parent,1,0,1,4701
222,1,child,child; spouse,2,1,1,223 | 2930
1403,1,parent,parent,1,0,1,2840
2840,1,child,child,1,0,1,1403
1650,1,parent,parent,1,0,1,6808
6808,1,child,child,1,0,1,1650
1425,1,parent,parent,1,0,1,1424
1424,1,child,child,1,0,1,1425
2831,1,parent,parent,1,0,1,6677
6677,1,child,child,1,0,1,2831
2835,1,parent,parent,1,0,1,9002
9002,1,child,child,1,0,1,2835
2838,1,parent,parent,1,0,1,2839
2839,1,child,child,1,0,1,2838
3650,1,parent,parent,1,0,1,3649
3649,1,child,child,1,0,1,3650
6687,1,parent,parent,1,0,1,6686
6686,1,child,child,1,0,1,6687
7494,1,parent,parent,1,0,1,1409
1409,1,child,child,1,0,1,7494
7497,1,parent,parent,1,0,1,7679
7679,1,child,child,1,0,1,7497
8345,1,parent,parent,1,0,1,1408
1408,1,child,child,1,0,1,8345
8841,1,parent,parent,1,0,1,1856
1856,1,child,child,1,0,1,8841
8852,1,parent,child; grandparent; parent,3,1,1,1873 | 8206 | 9311
6711,1,child,child; grandchild,4,1,1,1480 | 1974 | 6712 | 8337
8304,1,child,child; grandparent; parent,3,1,1,1445 | 2018 | 8932
9090,1,parent,parent,1,0,1,1457
1457,1,child,child,1,0,1,9090
8174,1,parent,child; grandparent; parent,3,1,1,1371 | 8363 | 8979
1495,1,parent,nibling; parent,2,1,1,1496 | 6723
6723,1,child,child; grandchild,2,1,1,1495 | 1496
5355,1,child,child; grandchild,2,1,1,1506 | 1507
1518,1,parent,parent,1,0,1,6735
6735,1,child,child,1,0,1,1518
3787,1,child,child,2,1,1,3785 | 3786
7441,1,parent,parent,1,0,1,1222
1222,1,child,child,1,0,1,7441
7359,1,child,child,1,0,1,1530
1227,1,parent,parent,1,0,1,6434
6434,1,child,child,1,0,1,1227
3128,1,parent,parent,1,0,1,3129
3129,1,child,child,1,0,1,3128
3212,1,parent,parent,1,0,1,3210
3210,1,child,child,1,0,1,3212
6552,1,parent,parent,1,0,1,6551
6551,1,child,child,1,0,1,6552
8075,1,parent,parent,1,0,1,1785
1785,1,child,child,1,0,1,8075
1680,1,parent,parent,1,0,1,1679
1679,1,child,child,1,0,1,1680
7406,1,child,child,2,1,1,1866 | 2062
2089,1,parent,parent,1,0,1,6780
6780,1,child,child,1,0,1,2089
2392,1,child,child,1,0,1,3929
1461,1,child,child; parent,2,1,1,1460 | 5542
1460,1,child,child; grandchild,2,1,1,1461 | 5542
1468,1,parent,parent,1,0,1,3680
3662,1,parent,parent; pibling,2,1,1,3663 | 3664
6707,1,child,child,2,1,1,1464 | 6706
1595,1,child,child; parent,3,1,1,1596 | 3957 | 6778
4006,1,child,child,2,1,1,4005 | 4007
4039,1,parent,parent; pibling,2,1,1,4040 | 6034
4096,1,parent,parent,1,0,1,4095
4095,1,child,child,1,0,1,4096
6768,1,parent,parent,1,0,1,6769
6786,1,parent,parent,1,0,1,6785
6785,1,child,child,1,0,1,6786
6796,1,parent,parent,1,0,1,6797
6797,1,child,child,1,0,1,6796
2167,1,parent,parent,1,0,1,6722
6722,1,child,child,1,0,1,2167
3466,1,parent,parent,1,0,1,1520
1520,1,child,child,1,0,1,3466
3822,1,parent,parent,1,0,1,3820
3820,1,child,child,1,0,1,3822
3235,1,child,child; grandchild,2,1,1,1371 | 3236
7650,1,parent,parent,1,0,1,1654
1654,1,child,child,1,0,1,7650
8251,1,parent,parent,1,0,1,7649
7649,1,child,child; pibling,2,1,1,2891 | 8251
5778,1,child,child,1,0,1,4010
2206,1,child,child,2,1,1,8575 | 8757
6741,1,parent,parent,1,0,1,6744
6744,1,child,child,1,0,1,6741
1489,1,child,child,1,0,1,7682
7996,1,parent,parent,1,0,1,7680
7680,1,child,child,1,0,1,7996
562,1,parent,parent,1,0,1,9259
9259,1,child,child,1,0,1,562
1534,1,parent,grandparent; parent,3,1,1,3680 | 9005 | 9006
1562,1,parent,parent,1,0,1,9007
3843,1,child,child,1,0,1,3842
4793,1,child,child,2,1,1,3872 | 4792
3899,1,child,child,2,1,1,3897 | 3898
1384,1,parent,parent,1,0,1,6661
6661,1,child,child,1,0,1,1384
1387,1,parent,parent,1,0,1,1150
1150,1,parent,child; parent,2,1,1,1387 | 6664
1397,1,parent,parent,1,0,1,1398
1398,1,child,child,1,0,1,1397
1400,1,parent,parent,1,0,1,6668
6668,1,child,child,1,0,1,1400
2814,1,parent,parent,1,0,1,6671
6671,1,child,child,1,0,1,2814
2923,1,parent,parent,1,0,1,3557
3557,1,child,child,1,0,1,2923
8774,1,parent,parent,1,0,1,8641
8641,1,child,child,1,0,1,8774
3534,1,parent,parent,1,0,1,3535
3535,1,child,child,1,0,1,3534
6655,1,parent,parent,1,0,1,6653
6653,1,child,child,1,0,1,6655
1265,1,parent,parent,1,0,1,1263
3226,1,parent,parent,1,0,1,3225
3225,1,child,child,1,0,1,3226
3294,1,parent,parent,1,0,1,3247
3247,1,child,child,1,0,1,3294
2077,1,child,child,1,0,1,7440
7595,1,parent,parent,1,0,1,1930
2192,1,parent,parent,1,0,1,803
803,1,child,child,1,0,1,2192
2987,1,parent,parent,1,0,1,2988
2988,1,child,child; pibling,2,1,1,2987 | 2989
3025,1,parent,parent,1,0,1,3026
3026,1,child,child,1,0,1,3025
6320,1,child,child,1,0,1,1099
8991,1,parent,parent,1,0,1,8990
8990,1,child,child,1,0,1,8991
3093,1,parent,grandparent; parent; pibling,3,1,1,1830 | 3092 | 8657
1692,1,parent,parent,1,0,1,6822
6822,1,child,child,1,0,1,1692
6302,1,child,child,2,1,1,1135 | 6303
9030,1,child,child; grandchild,3,1,1,2619 | 9031 | 9032
1723,1,parent,parent,1,0,1,1724
1724,1,child,child,1,0,1,1723
1737,1,child,child,3,1,1,1736 | 5233 | 6845
1770,1,parent,parent,1,0,1,1701
1701,1,child,child,1,0,1,1770
1778,1,parent,parent,1,0,1,7663
7663,1,child,child; parent,2,1,1,1730 | 1778
1437,1,parent,parent,1,0,1,1436
1436,1,child,child,1,0,1,1437
2704,1,parent,parent,1,0,1,1883
1883,1,child,child,1,0,1,2704
2044,1,parent,grandparent; parent,2,1,1,6841 | 6842
2198,1,parent,parent,1,0,1,6828
6828,1,child,child,1,0,1,2198
4140,1,child,child; grandchild,4,1,1,2703 | 4137 | 7613 | 7614
4163,1,parent,parent,1,0,1,4166
4166,1,child,child,1,0,1,4163
1707,1,parent,grandparent; parent; pibling,4,1,1,1706 | 3476 | 3477 | 4648
6383,1,parent,parent,1,0,1,1135
1730,1,child,child,1,0,1,7663
6852,1,child,child,2,1,1,1748 | 1749
6778,1,child,child; grandchild,3,1,1,1595 | 1596 | 3957
6451,1,child,child; grandchild,3,1,1,1826 | 2224 | 2225
4253,1,parent,parent,1,0,1,6654
6654,1,child,child,1,0,1,4253
1964,1,parent,child; parent,2,1,1,2487 | 8069
8836,1,parent,parent,1,0,1,7412
7412,1,child,child,1,0,1,8836
8285,1,parent,parent,1,0,1,9403
9403,1,child,child,1,0,1,8285
6430,1,child,child; parent,2,1,1,1845 | 6473
6473,1,child,child; grandchild,2,1,1,1845 | 6430
1845,1,parent,grandparent; parent,2,1,1,6430 | 6473
1057,1,parent,parent,1,0,1,7355
5296,1,parent,parent,1,0,1,1053
1053,1,child,child,1,0,1,5296
6283,1,parent,parent,1,0,1,8387
8387,1,child,child,1,0,1,6283
1044,1,parent,parent; pibling,2,1,1,1043 | 1045
1793,1,parent,parent; pibling,2,1,1,2508 | 2510
2549,1,parent,child; parent,2,1,1,7004 | 8131
7004,1,child,child; grandchild,2,1,1,2549 | 8131
2578,1,parent,parent,1,0,1,7018
7018,1,child,child,1,0,1,2578
4852,1,child,child; grandchild,3,1,1,2135 | 4851 | 4853
318,1,parent,parent,1,0,1,8968
8968,1,child,child,1,0,1,318
1037,1,child,child,2,1,1,1038 | 1039
8130,1,parent,parent,1,0,1,7416
7416,1,child,child,1,0,1,8130
8131,1,parent,grandparent; parent,2,1,1,2549 | 7004
8598,1,parent,parent,1,0,1,2165
2165,1,child,child,1,0,1,8598
7529,1,parent,parent,1,0,1,1036
1036,1,child,child,1,0,1,7529
8139,1,child,child,1,0,1,8821
9389,1,parent,parent,1,0,1,8789
8789,1,child,child,1,0,1,9389
2606,1,child,child; grandchild,2,1,1,2607 | 7620
2622,1,parent,parent,1,0,1,2623
2623,1,child,child,1,0,1,2622
2633,1,child,child,2,1,1,1991 | 2632
2636,1,parent,parent,1,0,1,7056
7056,1,child,child,1,0,1,2636
2647,1,parent,parent; pibling,2,1,1,6460 | 7058
2659,1,parent,parent; pibling,2,1,1,9111 | 9404
2661,1,parent,parent,1,0,1,9042
9042,1,child,child,1,0,1,2661
2671,1,parent,parent,1,0,1,2672
2672,1,child,child,1,0,1,2671
5054,1,parent,parent,1,0,1,5053
5053,1,child,child,1,0,1,5054
7273,1,child,child,2,1,1,1943 | 5057
5079,1,parent,parent,1,0,1,5080
5080,1,child,child,1,0,1,5079
5106,1,parent,parent,1,0,1,9419
9419,1,child,child,1,0,1,5106
2857,1,parent,parent,1,0,1,1030
1962,1,parent,parent,1,0,1,1708
1708,1,child,child,1,0,1,1962
5124,1,parent,parent,1,0,1,5123
5123,1,child,child,1,0,1,5124
150,1,parent,parent,1,0,1,8592
8592,1,child,child,1,0,1,150
9433,1,parent,parent,1,0,1,5288
5288,1,child,child,1,0,1,9433
8027,1,parent,parent,1,0,1,2698
2698,1,child,child,1,0,1,8027
7084,1,child,child,2,1,1,2697 | 7083
2677,1,parent,parent,1,0,1,7078
7078,1,child,child,1,0,1,2677
6337,1,parent,grandparent; parent,2,1,1,5587 | 729
737,1,parent,parent,1,0,1,7154
7154,1,child,child,1,0,1,737
5524,1,parent,parent,1,0,1,6021
5526,1,parent,parent,1,0,1,5525
5525,1,child,child,1,0,1,5526
743,1,child,child; grandchild,3,1,1,2146 | 2175 | 6498
6498,1,parent,grandparent; parent; pibling,3,1,1,2146 | 2175 | 743
5542,1,parent,grandparent; parent,2,1,1,1460 | 1461
5547,1,parent,parent,1,0,1,5548
5548,1,child,child,1,0,1,5547
750,1,parent,parent,1,0,1,9043
9043,1,child,child,1,0,1,750
7953,1,parent,parent,1,0,1,2027
2027,1,child,child,1,0,1,7953
5555,1,parent,parent,1,0,1,5556
5556,1,child,child,1,0,1,5555
5561,1,parent,parent,1,0,1,5569
5569,1,child,child,1,0,1,5561
2942,1,parent,parent,1,0,1,8182
8182,1,child,child,1,0,1,2942
1275,1,parent,parent,1,0,1,8988
1289,1,parent,parent; pibling,2,1,1,6435 | 6604
1297,1,parent,grandchild; parent,2,1,1,7826 | 8989
6614,1,child,child,2,1,1,1301 | 1302
1303,1,parent,grandparent; parent,2,1,1,1304 | 4573
1304,1,parent,child; parent,2,1,1,1303 | 4573
1306,1,parent,parent,1,0,1,6615
6615,1,child,child,1,0,1,1306
1241,1,parent,parent,1,0,1,6632
6632,1,child,child,1,0,1,1241
24,1,parent,grandparent; parent,2,1,1,21 | 23
23,1,child,child; parent,2,1,1,21 | 24
6328,1,parent,parent,1,0,1,6286
6353,1,parent,parent,1,0,1,1989
1989,1,child,child,1,0,1,6353
6368,1,parent,parent,1,0,1,6369
6369,1,child,child,1,0,1,6368
6395,1,parent,parent,1,0,1,6362
6362,1,child,child,1,0,1,6395
1144,1,parent,parent,1,0,1,1145
1145,1,child,child,1,0,1,1144
1148,1,parent,parent,1,0,1,6509
6509,1,child,child; parent,2,1,1,1148 | 6508
6664,1,child,child,1,0,1,1150
1155,1,parent,parent,1,0,1,6431
1166,1,parent,grandparent; parent,2,1,1,6535 | 6537
6537,1,child,child; parent,2,1,1,1166 | 6535
1182,1,child,child,2,1,1,1179 | 1181
6546,1,child,child,2,1,1,1185 | 6547
3082,1,parent,parent,1,0,1,3083
3083,1,child,child,1,0,1,3082
3086,1,parent,parent,1,0,1,3087
3087,1,child,child,1,0,1,3086
6508,1,child,child,1,0,1,6509
6517,1,parent,parent,1,0,1,6431
6525,1,parent,parent,1,0,1,6524
6524,1,child,child,1,0,1,6525
7452,1,parent,parent,1,0,1,1824
1824,1,child,child,1,0,1,7452
2110,1,child,child; grandchild,2,1,1,3599 | 7455
7661,1,parent,parent,1,0,1,1173
1173,1,child,child,1,0,1,7661
119,1,parent,child; grandparent; parent,4,1,1,2906 | 63 | 7425 | 8361
6549,1,child,child,2,1,1,1195 | 1196
6568,1,parent,parent,1,0,1,6567
6567,1,child,child; grandchild,2,1,1,1219 | 6568
7606,1,parent,child; parent,2,1,1,1196 | 8142
1246,1,parent,parent,1,0,1,6583
6583,1,child,child,1,0,1,1246
1250,1,parent,parent,1,0,1,6585
6585,1,child,child,1,0,1,1250
25,1,parent,child; parent,3,1,1,21 | 22 | 6284
6284,1,child,child; grandchild,2,1,1,22 | 25
5934,1,parent,parent,1,0,1,1838
1838,1,child,child,1,0,1,5934
762,1,parent,parent,1,0,1,761
761,1,child,child,1,0,1,762
95,1,parent,parent,1,0,1,6399
6399,1,child,child,1,0,1,95
2005,1,parent,parent,1,0,1,1121
1121,1,child,child,1,0,1,2005
3022,1,parent,parent; pibling,2,1,1,3021 | 6916
3029,1,parent,parent,1,0,1,3030
3030,1,child,child,1,0,1,3029
1368,1,parent,parent,1,0,1,1369
7597,1,parent,grandparent; parent,2,1,1,1272 | 6589
1272,1,parent,child; parent,2,1,1,6589 | 7597
8008,1,parent,parent,1,0,1,6594
6594,1,child,child,1,0,1,8008
8956,1,parent,parent,1,0,1,1784
1332,1,parent,parent,1,0,1,6619
6619,1,child,child,1,0,1,1332
1349,1,parent,parent; pibling,2,1,1,1348 | 2458
1359,1,parent,parent,1,0,1,6644
6644,1,child,child,1,0,1,1359
1364,1,parent,parent,1,0,1,7019
7019,1,child,child,1,0,1,1364
8994,1,child,child; grandchild,2,1,1,1362 | 2771
3447,1,parent,parent,1,0,1,3446
3446,1,child,child,1,0,1,3447
3479,1,parent,grandparent; parent,2,1,1,3478 | 3874
3478,1,child,child,1,0,1,3479
6628,1,parent,parent,1,0,1,6627
6627,1,child,child,1,0,1,6628
6634,1,parent,parent,1,0,1,6635
6635,1,child,child,2,1,1,1339 | 6634
1833,1,child,child,2,1,1,7488 | 7619
7491,1,parent,parent,1,0,1,1358
1358,1,child,child,1,0,1,7491
4502,1,parent,parent,1,0,1,4503
4503,1,child,child,1,0,1,4502
7427,1,parent,parent,1,0,1,1794
1794,1,child,child,1,0,1,7427
7760,1,parent,parent,1,0,1,1937
7771,1,parent,parent,1,0,1,2307
2307,1,child,child,1,0,1,7771
8239,1,parent,parent,1,0,1,1924
1924,1,child,child,1,0,1,8239
8278,1,parent,parent,1,0,1,1946
1946,1,child,child,1,0,1,8278
8405,1,parent,parent,1,0,1,7842
8464,1,parent,parent,2,1,1,379 | 7752
379,1,child,child,1,0,1,8464
9018,1,parent,parent,1,0,1,9103
9153,1,parent,parent,2,1,1,9017 | 9178
9178,1,child,child,1,0,1,9153
767,1,child,child,1,0,1,2128
1174,1,parent,parent; pibling,2,1,1,6542 | 8984
979,1,child,child; grandchild,3,1,1,7548 | 7643 | 978
7643,1,parent,grandparent; parent; pibling,3,1,1,7548 | 978 | 979
5645,1,parent,parent,1,0,1,5646
5646,1,child,child,1,0,1,5645
5485,1,parent,grandparent; parent; pibling,3,1,1,1859 | 6548 | 7385
7592,1,child,child; grandchild,2,1,1,8481 | 9852
6336,1,parent,parent,1,0,1,1105
1105,1,child,child,1,0,1,6336
6376,1,parent,grandparent; parent,2,1,1,1789 | 5988
3070,1,parent,parent,1,0,1,3068
8802,1,parent,grandparent; parent,2,1,1,8233 | 9438
9438,1,parent,child; parent,2,1,1,8233 | 8802
8233,1,child,child; grandchild,2,1,1,8802 | 9438
8940,1,parent,grandparent; parent; pibling,4,1,1,5117 | 7024 | 7798 | 7917
893,1,parent,parent; pibling,2,1,1,2464 | 9117
1094,1,parent,parent,1,0,1,1093
1093,1,child,child,1,0,1,1094
7859,1,child,child; grandparent,3,1,1,4495 | 7366 | 8831
4589,1,parent,parent,1,0,1,4590
4590,1,child,child,1,0,1,4589
7670,1,parent,parent,1,0,1,2379
2379,1,child,child,1,0,1,7670
7577,1,parent,parent,1,0,1,1807
1807,1,child,child,1,0,1,7577
8549,1,parent,parent,1,0,1,1822
1822,1,child,child,1,0,1,8549
6253,1,parent,parent; pibling,2,1,1,6254 | 7229
774,1,parent,child; parent,2,1,1,3950 | 7166
7166,1,child,child; grandchild,2,1,1,3950 | 774
782,1,parent,parent,1,0,1,7171
7171,1,child,child,1,0,1,782
2487,1,child,child; grandchild,2,1,1,1964 | 8069
2444,1,parent,parent,1,0,1,2443
2443,1,child,child,1,0,1,2444
2445,1,parent,parent,1,0,1,6979
6979,1,child,child,1,0,1,2445
7646,1,child,child; grandchild,3,1,1,1932 | 2454 | 7779
2463,1,parent,grandparent; parent,2,1,1,2462 | 4708
2471,1,child,child; parent,2,1,1,7696 | 9024
2472,1,parent,parent,1,0,1,9025
2484,1,parent,parent,1,0,1,6987
6987,1,child,child,1,0,1,2484
6992,1,child,child; grandchild,3,1,1,2488 | 2489 | 2490
2489,1,parent,grandparent; parent; pibling,3,1,1,2488 | 2490 | 6992
8874,1,parent,parent,1,0,1,783
783,1,child,child,1,0,1,8874
3950,1,parent,grandparent; parent,2,1,1,7166 | 774
6672,1,child,child; nibling,2,1,1,2817 | 6714
4691,1,parent,parent,1,0,1,4690
4690,1,child,child,1,0,1,4691
4727,1,parent,parent,1,0,1,4725
4725,1,child,child,1,0,1,4727
4783,1,parent,parent,1,0,1,4782
4782,1,child,child,1,0,1,4783
1077,1,parent,parent,1,0,1,1076
1076,1,child,child,1,0,1,1077
1067,1,child,child,2,1,1,7627 | 9397
7784,1,parent,grandparent; parent,2,1,1,2115 | 6680
1065,1,parent,parent,1,0,1,7358
7358,1,child,child,1,0,1,1065
7954,1,parent,parent,1,0,1,7665
7665,1,child,child,1,0,1,7954
4310,1,child,child; grandparent; parent,4,1,1,2893 | 4311 | 4313 | 6219
1062,1,child,child,1,0,1,7746
7477,1,parent,parent,1,0,1,1571
1571,1,child,child,1,0,1,7477
1622,1,parent,parent,1,0,1,1624
1625,1,parent,parent,1,0,1,6793
6793,1,child,child,1,0,1,1625
1628,1,parent,parent,1,0,1,6794
6794,1,child,child,1,0,1,1628
1362,1,parent,grandparent; parent,2,1,1,2771 | 8994
1631,1,parent,parent,1,0,1,6799
6799,1,child,child,1,0,1,1631
6766,1,parent,parent,1,0,1,6767
6767,1,child,child,1,0,1,6766
476,1,parent,parent,1,0,1,9210
9210,1,child,child,1,0,1,476
484,1,parent,parent,1,0,1,9254
9254,1,child,child,1,0,1,484
5285,1,parent,parent,1,0,1,5284
5284,1,child,child,1,0,1,5285
276,1,parent,parent,1,0,1,8782
1587,1,child,child,2,1,1,1586 | 1588
1591,1,parent,parent,1,0,1,6771
6771,1,child,child,1,0,1,1591
6448,1,child,child,1,0,1,1598
1660,1,parent,parent,1,0,1,1659
1666,1,parent,parent,1,0,1,6814
6814,1,child,child,1,0,1,1666
4648,1,child,child; grandchild,3,1,1,1706 | 1707 | 4647
5130,1,parent,parent,1,0,1,5131
5131,1,child,child,1,0,1,5130
9381,1,parent,parent,1,0,1,8569
6171,1,parent,parent,1,0,1,6172
6172,1,child,child,1,0,1,6171
6167,1,parent,parent,1,0,1,6166
6166,1,child,child,1,0,1,6167
5219,1,child,child; parent,2,1,1,5220 | 7453
