ego,ego_name,alter,alter_name,relation,source
Q5083446,"Charles Wentworth-Fitzwilliam, 5th Earl Fitzwilliam",Q8020195,"William Wentworth-Fitzwilliam, 6th Earl Fitzwilliam",child;parent,panel;rush
Q5083588,Charles William Selwyn,Q5079478,Charles Jasper Selwyn,child;parent,panel;rush
Q5083590,Charles William White,Q24248901,Samuel White,niece/nephew;uncle/aunt,panel;rush
Q5083590,Charles William White,Q26218356,Luke White,niece/nephew;uncle/aunt,panel;rush
Q5083590,Charles William White,Q5730053,"Henry White, 1st Baron Annaly",child;parent,panel;rush
Q5083590,Charles William White,Q6702449,"Luke White, 2nd Baron Annaly",sibling,panel;rush
Q5083597,Charles Williams,Q18645992,Thomas Bedford Bolitho,indirect,rush
Q5083597,Charles Williams,Q26265403,Alfred Williams,sibling,rush
Q5083597,Charles Williams,Q6225803,John Charles Williams,parent,rush
Q5083597,Charles Williams,Q7526795,"Sir Frederick Williams, 2nd Baronet",grandparent,rush
Q5083625,"Charles Wilson, 1st Baron Nunburnholme",Q5083626,"Charles Wilson, 2nd Baron Nunburnholme",child;parent,panel;rush
Q5083625,"Charles Wilson, 1st Baron Nunburnholme",Q5622292,Guy Greville Wilson,child;parent,panel;rush
Q5083626,"Charles Wilson, 2nd Baron Nunburnholme",Q5083625,"Charles Wilson, 1st Baron Nunburnholme",child;parent,panel;rush
